Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
FD7705,11.76,Low Sugar,0.124,Frozen Foods,185.36,OUT001,1987,High,Tier 2,Supermarket Type1,4034.76
FD6517,12.78,Low Sugar,0.058,Snack Foods,181.08,OUT001,1987,High,Tier 2,Supermarket Type1,4177.68
NC2868,18.01,No Sugar,0.012,Health and Hygiene,229.54,OUT003,1999,Medium,Tier 1,Departmental Store,6352.98
DR3465,9.99,Low Sugar,0.04,Hard Drinks,97.16,OUT002,1998,Small,Tier 3,Food Mart,1832.13
NC2284,10.09,No Sugar,0.02,Household,116.0,OUT002,1998,Small,Tier 3,Food Mart,2239.69
DR6318,11.0,Regular,0.078,Soft Drinks,167.49,OUT004,2009,Medium,Tier 2,Supermarket Type2,3498.89
FD4634,9.5,Low Sugar,0.05,Fruits and Vegetables,80.23,OUT002,1998,Small,Tier 3,Food Mart,1375.0
FD8175,13.61,Regular,0.056,Fruits and Vegetables,135.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3430.23
FD7866,12.14,Low Sugar,0.09,Baking Goods,95.05,OUT002,1998,Small,Tier 3,Food Mart,2273.91
DR7064,11.73,Regular,0.048,Soft Drinks,122.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2737.89
FD5350,15.2,Low Sugar,0.013,Baking Goods,164.09,OUT003,1999,Medium,Tier 1,Departmental Store,4378.47
DR2334,14.23,Regular,0.057,Soft Drinks,156.52,OUT001,1987,High,Tier 2,Supermarket Type1,4004.4
FD3729,12.95,Regular,0.114,Baking Goods,134.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3272.89
FD5424,13.13,Regular,0.095,Snack Foods,116.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,2942.07
FD5941,12.83,Low Sugar,0.011,Dairy,150.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3566.16
FD129,10.84,Low Sugar,0.049,Meat,124.93,OUT002,1998,Small,Tier 3,Food Mart,1215.18
FD1535,10.92,Low Sugar,0.052,Fruits and Vegetables,100.26,OUT002,1998,Small,Tier 3,Food Mart,2104.26
FD3733,13.68,Low Sugar,0.022,Canned,169.62,OUT001,1987,High,Tier 2,Supermarket Type1,4148.76
NC7474,13.02,No Sugar,0.02,Health and Hygiene,136.03,OUT004,2009,Medium,Tier 2,Supermarket Type2,3311.89
DR1305,11.73,Low Sugar,0.128,Soft Drinks,137.31,OUT004,2009,Medium,Tier 2,Supermarket Type2,3044.98
FD5996,13.31,Low Sugar,0.066,Fruits and Vegetables,162.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3914.8
FD2029,11.68,Regular,0.142,Fruits and Vegetables,142.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,3139.58
FD6651,11.73,Low Sugar,0.144,Canned,164.52,OUT004,2009,Medium,Tier 2,Supermarket Type2,3602.16
NC4508,12.28,No Sugar,0.012,Household,206.85,OUT001,1987,High,Tier 2,Supermarket Type1,4593.12
FD1729,10.86,Low Sugar,0.058,Snack Foods,161.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3349.31
FD75,11.77,Low Sugar,0.025,Dairy,152.22,OUT003,1999,Medium,Tier 1,Departmental Store,5751.8
FD4230,17.11,Regular,0.065,Snack Foods,180.36,OUT003,1999,Medium,Tier 1,Departmental Store,5141.68
FD95,11.49,reg,0.11,Snack Foods,135.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3990.5
FD7438,13.31,Regular,0.074,Snack Foods,134.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,3354.07
FD3870,10.89,Regular,0.142,Frozen Foods,112.77,OUT001,1987,High,Tier 2,Supermarket Type1,2354.38
FD8519,15.26,Low Sugar,0.168,Baking Goods,173.03,OUT001,1987,High,Tier 2,Supermarket Type1,4574.15
NC6064,8.27,No Sugar,0.075,Health and Hygiene,156.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,2649.21
FD4235,14.88,Regular,0.099,Canned,146.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3951.97
FD501,12.44,Low Sugar,0.093,Dairy,137.86,OUT002,1998,Small,Tier 3,Food Mart,552.0
FD2626,12.44,Low Sugar,0.061,Canned,137.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3202.79
DR3140,12.32,Regular,0.032,Soft Drinks,181.1,OUT001,1987,High,Tier 2,Supermarket Type1,4075.27
FD656,18.12,Low Sugar,0.031,Dairy,202.1,OUT003,1999,Medium,Tier 1,Departmental Store,5815.38
DR1249,13.21,Low Sugar,0.059,Soft Drinks,151.87,OUT004,2009,Medium,Tier 2,Supermarket Type2,3677.56
FD2371,7.72,Low Sugar,0.07,Fruits and Vegetables,123.45,OUT002,1998,Small,Tier 3,Food Mart,1856.55
NC3256,11.8,No Sugar,0.046,Household,164.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,3623.93
FD5613,14.19,Low Sugar,0.08,Fruits and Vegetables,143.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,3724.87
DR5056,13.09,Low Sugar,0.112,Soft Drinks,123.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3062.32
FD5696,12.01,Regular,0.019,Canned,134.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,3043.86
FD2790,15.55,Low Sugar,0.054,Frozen Foods,175.65,OUT001,1987,High,Tier 2,Supermarket Type1,4693.61
FD7219,14.84,Low Sugar,0.064,Dairy,135.55,OUT004,2009,Medium,Tier 2,Supermarket Type2,3712.61
NC7356,12.04,No Sugar,0.064,Health and Hygiene,99.19,OUT001,1987,High,Tier 2,Supermarket Type1,2336.73
FD4808,17.15,Low Sugar,0.094,Baking Goods,182.91,OUT003,1999,Medium,Tier 1,Departmental Store,5203.29
FD313,9.77,Low Sugar,0.03,Dairy,132.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,4328.48
FD1357,9.88,Low Sugar,0.032,Snack Foods,142.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,2727.08
FD6957,11.85,Low Sugar,0.137,Breads,172.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,3787.16
FD4233,15.83,Low Sugar,0.065,Frozen Foods,180.77,OUT001,1987,High,Tier 2,Supermarket Type1,4861.63
FD1202,10.71,Regular,0.066,Canned,118.97,OUT001,1987,High,Tier 2,Supermarket Type1,2440.96
FD2299,11.45,Low Sugar,0.034,Dairy,133.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2911.86
FD4147,10.09,Low Sugar,0.038,Frozen Foods,129.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,2511.29
NC6521,10.15,No Sugar,0.016,Household,104.0,OUT002,1998,Small,Tier 3,Food Mart,2007.09
NC7354,14.76,No Sugar,0.161,Household,188.48,OUT001,1987,High,Tier 2,Supermarket Type1,4776.98
FD1279,13.89,Low Sugar,0.016,Breads,143.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,3649.8
FD3260,14.53,Low Sugar,0.092,Breads,218.91,OUT003,1999,Medium,Tier 1,Departmental Store,5348.62
FD3191,12.68,Low Sugar,0.017,Snack Foods,102.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,2556.84
FD7066,13.48,Regular,0.129,Frozen Foods,142.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3554.49
NC5165,12.41,No Sugar,0.042,Health and Hygiene,166.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3788.44
FD2505,9.82,Low Sugar,0.045,Baking Goods,128.34,OUT001,1987,High,Tier 2,Supermarket Type1,2431.05
DR4511,10.3,Low Sugar,0.116,Soft Drinks,130.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,2581.85
FD4399,13.14,Regular,0.034,Frozen Foods,97.35,OUT004,2009,Medium,Tier 2,Supermarket Type2,2546.15
FD588,11.92,Regular,0.031,Dairy,138.42,OUT002,1998,Small,Tier 3,Food Mart,800.44
FD6680,10.94,Low Sugar,0.138,Dairy,121.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2532.68
FD6320,11.65,Low Sugar,0.058,Fruits and Vegetables,135.76,OUT004,2009,Medium,Tier 2,Supermarket Type2,2996.96
FD4643,11.48,Low Sugar,0.122,Dairy,153.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,3316.49
FD8529,11.72,Low Sugar,0.022,Meat,133.1,OUT004,2009,Medium,Tier 2,Supermarket Type2,2956.82
NC7723,15.11,No Sugar,0.014,Health and Hygiene,176.72,OUT001,1987,High,Tier 2,Supermarket Type1,4615.65
FD1334,13.67,Low Sugar,0.028,Frozen Foods,141.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3570.19
NC5779,10.8,No Sugar,0.07,Health and Hygiene,135.13,OUT004,2009,Medium,Tier 2,Supermarket Type2,2790.07
FD2839,15.97,Low Sugar,0.011,Meat,169.76,OUT001,1987,High,Tier 2,Supermarket Type1,4668.59
FD5890,13.57,reg,0.044,Dairy,121.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3135.0
FD8730,16.24,Low Sugar,0.032,Fruits and Vegetables,196.44,OUT003,1999,Medium,Tier 1,Departmental Store,5273.89
FD5868,14.3,Low Sugar,0.076,Dairy,159.21,OUT001,1987,High,Tier 2,Supermarket Type1,4074.0
FD8106,14.4,Low Sugar,0.021,Dairy,174.68,OUT003,1999,Medium,Tier 1,Departmental Store,4414.95
NC4006,12.26,No Sugar,0.159,Household,124.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,2896.91
FD4801,12.71,Low Sugar,0.18,Fruits and Vegetables,183.54,OUT003,1999,Medium,Tier 1,Departmental Store,4212.43
FD2753,16.09,Regular,0.138,Fruits and Vegetables,161.68,OUT001,1987,High,Tier 2,Supermarket Type1,4530.6
FD1948,7.11,Low Sugar,0.065,Frozen Foods,96.54,OUT002,1998,Small,Tier 3,Food Mart,1167.43
FD90,13.08,Low Sugar,0.128,Meat,146.35,OUT004,2009,Medium,Tier 2,Supermarket Type2,4334.63
FD1487,9.2,Low Sugar,0.081,Snack Foods,108.37,OUT002,1998,Small,Tier 3,Food Mart,1881.0
FD6226,16.15,Regular,0.185,Canned,168.51,OUT001,1987,High,Tier 2,Supermarket Type1,4684.13
DR7360,13.44,Low Sugar,0.011,Hard Drinks,153.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,3765.08
FD6530,11.99,Regular,0.081,Dairy,122.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,2794.79
FD5600,12.58,Regular,0.174,Frozen Foods,110.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,2696.92
DR8566,10.85,Regular,0.111,Soft Drinks,102.41,OUT002,1998,Small,Tier 3,Food Mart,2132.57
FD555,13.73,Low Sugar,0.027,Fruits and Vegetables,157.0,OUT004,2009,Medium,Tier 2,Supermarket Type2,2842.69
FD7265,14.94,Low Sugar,0.098,Canned,132.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3662.7
FD6541,12.33,Regular,0.16,Meat,111.53,OUT004,2009,Medium,Tier 2,Supermarket Type2,2653.7
NC3500,17.33,No Sugar,0.038,Health and Hygiene,195.06,OUT003,1999,Medium,Tier 1,Departmental Store,5492.55
FD8008,13.51,Low Sugar,0.047,Baking Goods,144.06,OUT004,2009,Medium,Tier 2,Supermarket Type2,3586.98
FD5148,11.49,Low Sugar,0.06,Dairy,94.19,OUT002,1998,Small,Tier 3,Food Mart,2110.46
FD8023,10.1,Low Sugar,0.006,Fruits and Vegetables,117.76,OUT002,1998,Small,Tier 3,Food Mart,2277.36
FD711,13.75,Low Sugar,0.038,Snack Foods,150.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,3771.58
FD7458,14.52,Regular,0.019,Baking Goods,214.98,OUT003,1999,Medium,Tier 1,Departmental Store,5264.97
FD5843,13.45,Regular,0.106,Baking Goods,141.05,OUT004,2009,Medium,Tier 2,Supermarket Type2,3511.42
FD5311,11.47,Low Sugar,0.058,Meat,178.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3827.72
FD1902,16.03,Low Sugar,0.064,Meat,194.26,OUT003,1999,Medium,Tier 1,Departmental Store,5184.12
FD150,19.82,Low Sugar,0.014,Canned,210.94,OUT002,1998,Small,Tier 3,Food Mart,2129.71
NC3710,11.74,No Sugar,0.026,Household,123.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2760.22
FD7733,15.79,Low Sugar,0.069,Canned,144.12,OUT001,1987,High,Tier 2,Supermarket Type1,4102.26
FD1687,14.77,Low Sugar,0.077,Starchy Foods,187.72,OUT001,1987,High,Tier 2,Supermarket Type1,4763.72
FD6700,13.7,Low Sugar,0.07,Snack Foods,183.45,OUT003,1999,Medium,Tier 1,Departmental Store,4435.82
FD2888,13.06,Regular,0.191,Snack Foods,151.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3646.25
NC249,12.95,No Sugar,0.085,Household,107.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,4332.32
FD14,13.04,Low Sugar,0.028,Breads,126.64,OUT003,1999,Medium,Tier 1,Departmental Store,6660.96
FD8445,13.05,Regular,0.014,Frozen Foods,169.41,OUT001,1987,High,Tier 2,Supermarket Type1,4001.06
NC114,14.77,No Sugar,0.041,Others,130.2,OUT003,1999,Medium,Tier 1,Departmental Store,6405.03
FD8658,14.32,Regular,0.03,Frozen Foods,194.4,OUT001,1987,High,Tier 2,Supermarket Type1,4798.7
DR2335,11.54,Regular,0.071,Soft Drinks,107.03,OUT001,1987,High,Tier 2,Supermarket Type1,2382.28
NC1050,16.12,No Sugar,0.12,Health and Hygiene,175.82,OUT001,1987,High,Tier 2,Supermarket Type1,4825.55
DR5292,15.27,Regular,0.082,Soft Drinks,144.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3988.19
FD8377,11.77,Regular,0.068,Canned,140.05,OUT004,2009,Medium,Tier 2,Supermarket Type2,3111.23
FD6247,10.85,Regular,0.066,Baking Goods,143.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,2981.2
FD6086,11.01,Low Sugar,0.147,Fruits and Vegetables,92.24,OUT002,1998,Small,Tier 3,Food Mart,1960.49
FD5551,10.55,Regular,0.08,Snack Foods,94.69,OUT002,1998,Small,Tier 3,Food Mart,1908.09
FD7547,8.49,Low Sugar,0.083,Snack Foods,133.15,OUT002,1998,Small,Tier 3,Food Mart,2227.81
FD6587,9.75,Low Sugar,0.009,Snack Foods,116.15,OUT002,1998,Small,Tier 3,Food Mart,2165.05
FD6924,14.54,Low Sugar,0.128,Dairy,175.77,OUT003,1999,Medium,Tier 1,Departmental Store,4468.82
FD7460,15.98,Low Sugar,0.106,Snack Foods,169.63,OUT001,1987,High,Tier 2,Supermarket Type1,4668.38
FD6003,12.4,Regular,0.086,Fruits and Vegetables,187.48,OUT003,1999,Medium,Tier 1,Departmental Store,4222.99
FD604,9.77,Low Sugar,0.055,Canned,139.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,2647.72
FD1266,11.14,Regular,0.016,Canned,109.91,OUT001,1987,High,Tier 2,Supermarket Type1,2352.39
NC3882,13.81,No Sugar,0.013,Health and Hygiene,170.97,OUT003,1999,Medium,Tier 1,Departmental Store,4204.48
FD3788,17.24,Low Sugar,0.034,Dairy,205.11,OUT003,1999,Medium,Tier 1,Departmental Store,5678.44
FD8441,11.48,Low Sugar,0.097,Canned,148.56,OUT004,2009,Medium,Tier 2,Supermarket Type2,3219.19
NC35,13.08,No Sugar,0.052,Health and Hygiene,202.0,OUT003,1999,Medium,Tier 1,Departmental Store,5449.81
FD4662,8.34,Regular,0.024,Canned,125.95,OUT002,1998,Small,Tier 3,Food Mart,2046.14
FD4273,12.51,Low Sugar,0.043,Dairy,102.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2516.6
DR4400,14.74,Regular,0.083,Soft Drinks,167.42,OUT003,1999,Medium,Tier 1,Departmental Store,4342.22
NC5183,14.14,No Sugar,0.064,Household,119.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,3233.7
FD5602,13.21,Low Sugar,0.067,Snack Foods,157.8,OUT004,2009,Medium,Tier 2,Supermarket Type2,3800.42
FD4840,13.77,Low Sugar,0.107,Breakfast,130.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,3375.92
FD8552,12.82,Regular,0.184,Baking Goods,133.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3223.86
FD759,12.02,Low Sugar,0.163,Fruits and Vegetables,123.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,2831.06
FD3362,14.08,Low Sugar,0.047,Dairy,133.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,3490.85
FD7453,11.72,Low Sugar,0.054,Snack Foods,143.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,3167.74
DR5567,13.68,Low Sugar,0.041,Hard Drinks,196.53,OUT001,1987,High,Tier 2,Supermarket Type1,4697.71
FD4351,13.28,Low Sugar,0.084,Meat,148.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3631.96
NC171,9.64,No Sugar,0.03,Household,141.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,2721.32
FD4555,12.1,Low Sugar,0.12,Baking Goods,126.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2901.63
FD5718,10.33,Low Sugar,0.047,Snack Foods,133.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,2659.17
FD7401,7.13,Low Sugar,0.074,Frozen Foods,83.24,OUT002,1998,Small,Tier 3,Food Mart,900.16
FD6058,12.48,Regular,0.214,Dairy,105.0,OUT004,2009,Medium,Tier 2,Supermarket Type2,2554.01
FD3344,12.24,Low Sugar,0.136,Fruits and Vegetables,147.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,3366.85
FD2114,12.54,Low Sugar,0.023,Fruits and Vegetables,178.97,OUT001,1987,High,Tier 2,Supermarket Type1,4081.38
FD2676,8.87,Low Sugar,0.088,Baking Goods,113.03,OUT002,1998,Small,Tier 3,Food Mart,1901.95
FD620,12.18,Low Sugar,0.097,Breads,137.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,3149.32
FD4060,12.17,Low Sugar,0.059,Meat,177.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3973.77
FD1907,11.92,Low Sugar,0.028,Snack Foods,176.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,3882.25
FD7364,10.92,Regular,0.031,Dairy,110.63,OUT001,1987,High,Tier 2,Supermarket Type1,2315.7
FD320,13.34,Low Sugar,0.093,Meat,124.78,OUT003,1999,Medium,Tier 1,Departmental Store,5703.97
FD8637,11.31,Low Sugar,0.152,Canned,146.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,3131.78
FD458,10.66,Low Sugar,0.174,Starchy Foods,141.0,OUT004,2009,Medium,Tier 2,Supermarket Type2,1640.82
FD3570,12.88,Regular,0.026,Baking Goods,89.6,OUT001,1987,High,Tier 2,Supermarket Type1,2329.47
FD6860,11.01,Regular,0.117,Frozen Foods,114.6,OUT001,1987,High,Tier 2,Supermarket Type1,2417.79
FD5506,11.59,Regular,0.015,Frozen Foods,136.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,3005.51
FD2690,14.02,Low Sugar,0.129,Canned,112.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,3051.8
DR2650,15.23,Low Sugar,0.047,Soft Drinks,158.9,OUT003,1999,Medium,Tier 1,Departmental Store,4279.28
FD3523,15.03,Low Sugar,0.066,Dairy,117.04,OUT004,2009,Medium,Tier 2,Supermarket Type2,3376.82
DR3434,12.47,Low Sugar,0.035,Soft Drinks,147.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3429.8
DR6286,9.37,Low Sugar,0.049,Soft Drinks,94.63,OUT002,1998,Small,Tier 3,Food Mart,1638.08
FD8251,15.12,Regular,0.058,Frozen Foods,133.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3730.93
FD861,12.88,Low Sugar,0.044,Snack Foods,98.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,2503.26
FD2234,15.52,Low Sugar,0.053,Canned,173.65,OUT001,1987,High,Tier 2,Supermarket Type1,4646.17
FD199,11.47,Regular,0.047,Dairy,130.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,1979.46
FD5055,11.1,Low Sugar,0.053,Breads,122.31,OUT004,2009,Medium,Tier 2,Supermarket Type2,2596.24
NC6576,14.08,No Sugar,0.047,Household,173.2,OUT003,1999,Medium,Tier 1,Departmental Store,4311.19
FD450,17.42,Low Sugar,0.027,Baking Goods,143.85,OUT002,1998,Small,Tier 3,Food Mart,1901.04
FD1966,15.14,Regular,0.031,Frozen Foods,166.7,OUT003,1999,Medium,Tier 1,Departmental Store,4417.93
FD4463,14.14,Regular,0.02,Dairy,147.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3804.8
FD8665,13.59,Low Sugar,0.069,Dairy,150.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3735.87
NC5513,11.52,No Sugar,0.066,Others,109.74,OUT001,1987,High,Tier 2,Supermarket Type1,2433.52
NC5089,13.7,No Sugar,0.116,Household,131.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,3367.55
FD1595,9.2,Regular,0.15,Canned,84.37,OUT002,1998,Small,Tier 3,Food Mart,1390.69
NC6049,16.4,No Sugar,0.227,Health and Hygiene,158.93,OUT001,1987,High,Tier 2,Supermarket Type1,4543.65
FD5011,14.76,Low Sugar,0.033,Frozen Foods,145.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3896.2
NC1522,14.35,No Sugar,0.053,Household,173.04,OUT003,1999,Medium,Tier 1,Departmental Store,4369.89
FD8316,13.36,Regular,0.104,Baking Goods,109.88,OUT004,2009,Medium,Tier 2,Supermarket Type2,2853.77
FD4778,8.32,Low Sugar,0.084,Snack Foods,116.5,OUT002,1998,Small,Tier 3,Food Mart,1848.69
FD5453,12.23,Low Sugar,0.054,Fruits and Vegetables,152.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3477.12
FD4729,12.21,Low Sugar,0.205,Starchy Foods,142.68,OUT004,2009,Medium,Tier 2,Supermarket Type2,3264.16
FD4245,7.02,Regular,0.029,Baking Goods,50.42,OUT002,1998,Small,Tier 3,Food Mart,203.55
NC2208,13.46,No Sugar,0.08,Household,148.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3670.67
FD4802,11.48,Low Sugar,0.107,Meat,112.69,OUT001,1987,High,Tier 2,Supermarket Type1,2485.22
DR4331,13.07,Low Sugar,0.045,Soft Drinks,161.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3836.9
FD6152,9.37,Low Sugar,0.068,Snack Foods,104.81,OUT002,1998,Small,Tier 3,Food Mart,1847.26
FD74,10.46,Low Sugar,0.137,Baking Goods,117.84,OUT001,1987,High,Tier 2,Supermarket Type1,2413.39
FD1993,10.72,Regular,0.119,Canned,127.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2626.22
FD6315,14.42,Low Sugar,0.067,Baking Goods,181.17,OUT001,1987,High,Tier 2,Supermarket Type1,4550.07
DR4824,14.93,Low Sugar,0.083,Soft Drinks,189.03,OUT001,1987,High,Tier 2,Supermarket Type1,4826.27
FD3591,13.33,Regular,0.082,Dairy,135.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,3368.53
NC4243,14.28,No Sugar,0.169,Health and Hygiene,160.97,OUT001,1987,High,Tier 2,Supermarket Type1,4106.49
FD2678,13.54,Low Sugar,0.1,Snack Foods,154.55,OUT004,2009,Medium,Tier 2,Supermarket Type2,3808.62
FD7876,14.82,Regular,0.03,Baking Goods,190.42,OUT001,1987,High,Tier 2,Supermarket Type1,4830.81
FD7633,10.02,Regular,0.132,Snack Foods,120.83,OUT001,1987,High,Tier 2,Supermarket Type1,2322.64
FD6121,12.78,Low Sugar,0.169,Snack Foods,152.33,OUT004,2009,Medium,Tier 2,Supermarket Type2,3589.82
FD5264,12.66,Regular,0.066,Fruits and Vegetables,117.41,OUT004,2009,Medium,Tier 2,Supermarket Type2,2849.03
